family,instance,solomon_base_instance,customer_count,customer_file,station_file
real-world,A1,,4,real-world/A1_customers.txt,real-world/stations.txt
real-world,A2,,5,real-world/A2_customers.txt,real-world/stations.txt
real-world,A3,,6,real-world/A3_customers.txt,real-world/stations.txt
real-world,A4,,7,real-world/A4_customers.txt,real-world/stations.txt
real-world,A5,,8,real-world/A5_customers.txt,real-world/stations.txt
real-world,A6,,9,real-world/A6_customers.txt,real-world/stations.txt
real-world,A7,,10,real-world/A7_customers.txt,real-world/stations.txt
real-world,A8,,11,real-world/A8_customers.txt,real-world/stations.txt
real-world,A9,,12,real-world/A9_customers.txt,real-world/stations.txt
real-world,A10,,13,real-world/A10_customers.txt,real-world/stations.txt
real-world,A11,,14,real-world/A11_customers.txt,real-world/stations.txt
real-world,A12,,15,real-world/A12_customers.txt,real-world/stations.txt
solomon-derived,C101-20,C101,20,solomon-derived/C101-20_customers.txt,solomon-derived/stations.txt
solomon-derived,C102-20,C102,20,solomon-derived/C102-20_customers.txt,solomon-derived/stations.txt
solomon-derived,R101-20,R101,20,solomon-derived/R101-20_customers.txt,solomon-derived/stations.txt
solomon-derived,R102-20,R102,20,solomon-derived/R102-20_customers.txt,solomon-derived/stations.txt
solomon-derived,RC101-20,RC101,20,solomon-derived/RC101-20_customers.txt,solomon-derived/stations.txt
solomon-derived,RC102-20,RC102,20,solomon-derived/RC102-20_customers.txt,solomon-derived/stations.txt
solomon-derived,C101-50,C101,50,solomon-derived/C101-50_customers.txt,solomon-derived/stations.txt
solomon-derived,C102-50,C102,50,solomon-derived/C102-50_customers.txt,solomon-derived/stations.txt
solomon-derived,R101-50,R101,50,solomon-derived/R101-50_customers.txt,solomon-derived/stations.txt
solomon-derived,R102-50,R102,50,solomon-derived/R102-50_customers.txt,solomon-derived/stations.txt
solomon-derived,RC101-50,RC101,50,solomon-derived/RC101-50_customers.txt,solomon-derived/stations.txt
solomon-derived,RC102-50,RC102,50,solomon-derived/RC102-50_customers.txt,solomon-derived/stations.txt
random,R1,,20,random/R1_customers.txt,random/stations.txt
random,R2,,20,random/R2_customers.txt,random/stations.txt
random,R3,,20,random/R3_customers.txt,random/stations.txt
random,R4,,30,random/R4_customers.txt,random/stations.txt
random,R5,,30,random/R5_customers.txt,random/stations.txt
random,R6,,30,random/R6_customers.txt,random/stations.txt
random,R7,,40,random/R7_customers.txt,random/stations.txt
random,R8,,40,random/R8_customers.txt,random/stations.txt
random,R9,,40,random/R9_customers.txt,random/stations.txt
random,R10,,50,random/R10_customers.txt,random/stations.txt
random,R11,,50,random/R11_customers.txt,random/stations.txt
random,R12,,50,random/R12_customers.txt,random/stations.txt
