node_id,X,Y,package_weight,e,l
0,20.0,20.0,0.0,0.0,1236.0
1,5.9,24.6,0.2,3.4,5.0
2,24.7,22.7,0.1,2.6,4.2
3,35.2,29.4,0.3,1.4,2.5
4,27.6,24.4,0.3,2.5,3.7
5,5.8,24.8,0.4,3.2,4.4
6,13.3,27.5,0.3,3.5,4.9
7,36.3,6.7,0.2,2.9,4.5
8,22.3,17.6,0.4,4.1,5.9
9,18.8,37.9,0.3,3.0,4.9
10,15.6,29.7,0.3,4.2,5.8
11,39.0,21.1,0.3,4.3,6.2
12,2.9,34.3,0.5,2.0,3.3
13,37.6,8.5,0.3,3.2,4.4
14,5.7,19.2,0.2,0.8,2.2
15,4.8,6.0,0.3,1.8,3.5
16,9.7,7.5,0.2,3.5,4.7
17,32.3,33.2,0.3,3.9,5.5
18,3.7,6.8,0.4,2.1,3.9
19,36.8,18.8,0.1,1.6,2.8
20,28.1,36.9,0.4,4.3,5.9
21,20.0,20.0,0.0,0.0,1236.0
