node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,1236.0
5,42.0,65.0,10.0,15.0,67.0
6,40.0,69.0,20.0,621.0,702.0
7,40.0,66.0,20.0,170.0,225.0
8,38.0,68.0,20.0,255.0,324.0
9,38.0,70.0,10.0,534.0,605.0
10,35.0,66.0,10.0,357.0,410.0
12,25.0,85.0,20.0,652.0,721.0
13,22.0,75.0,30.0,30.0,92.0
16,20.0,85.0,40.0,475.0,528.0
18,15.0,75.0,20.0,179.0,254.0
19,15.0,80.0,10.0,278.0,345.0
20,30.0,50.0,10.0,10.0,73.0
24,25.0,50.0,10.0,65.0,144.0
28,23.0,55.0,20.0,546.0,593.0
29,20.0,50.0,10.0,358.0,405.0
31,10.0,35.0,20.0,200.0,237.0
36,5.0,45.0,10.0,665.0,716.0
37,2.0,40.0,20.0,383.0,434.0
38,0.0,40.0,30.0,479.0,522.0
40,35.0,30.0,10.0,264.0,321.0
41,35.0,32.0,10.0,166.0,235.0
42,33.0,32.0,20.0,68.0,149.0
44,32.0,30.0,10.0,359.0,412.0
46,30.0,32.0,30.0,448.0,509.0
47,30.0,35.0,10.0,1054.0,1127.0
51,25.0,30.0,10.0,725.0,786.0
53,44.0,5.0,20.0,286.0,347.0
54,42.0,10.0,40.0,186.0,257.0
55,42.0,15.0,10.0,95.0,158.0
56,40.0,5.0,30.0,385.0,436.0
59,38.0,15.0,10.0,651.0,740.0
63,50.0,40.0,50.0,171.0,218.0
65,48.0,40.0,10.0,76.0,129.0
68,45.0,30.0,10.0,734.0,777.0
69,45.0,35.0,10.0,916.0,969.0
71,95.0,35.0,20.0,293.0,360.0
72,53.0,30.0,10.0,450.0,505.0
73,92.0,30.0,10.0,478.0,551.0
75,45.0,65.0,20.0,997.0,1068.0
76,90.0,35.0,10.0,203.0,260.0
78,88.0,35.0,20.0,109.0,170.0
81,85.0,35.0,30.0,47.0,124.0
84,70.0,58.0,20.0,458.0,523.0
86,66.0,55.0,10.0,173.0,238.0
90,60.0,55.0,10.0,20.0,84.0
91,60.0,60.0,10.0,836.0,889.0
93,65.0,85.0,40.0,475.0,518.0
96,60.0,80.0,10.0,95.0,156.0
97,60.0,85.0,30.0,561.0,622.0
98,58.0,75.0,20.0,30.0,84.0
0,40.0,50.0,0.0,0.0,1236.0
