node_id,X,Y,package_weight,e,l
0,35.0,35.0,0.0,0.0,1000.0
3,55.0,45.0,13.0,527.0,584.0
8,10.0,43.0,9.0,404.0,481.0
9,55.0,60.0,16.0,400.0,497.0
12,50.0,35.0,19.0,228.0,345.0
14,15.0,10.0,20.0,32.0,243.0
20,45.0,65.0,9.0,581.0,666.0
29,64.0,42.0,9.0,190.0,313.0
31,31.0,52.0,27.0,152.0,275.0
36,2.0,60.0,5.0,41.0,208.0
38,5.0,5.0,16.0,302.0,405.0
39,60.0,12.0,31.0,33.0,224.0
47,8.0,56.0,27.0,85.0,250.0
51,49.0,58.0,10.0,348.0,453.0
52,27.0,43.0,9.0,174.0,299.0
62,24.0,58.0,19.0,163.0,302.0
67,67.0,5.0,25.0,294.0,401.0
69,37.0,47.0,6.0,162.0,293.0
71,57.0,68.0,15.0,268.0,367.0
93,18.0,24.0,22.0,811.0,969.0
98,19.0,21.0,10.0,183.0,306.0
0,35.0,35.0,0.0,0.0,1000.0
