node_id,X,Y,package_weight,e,l
0,40.0,50.0,0.0,0.0,240.0
3,22.0,85.0,10.0,109.0,139.0
5,20.0,85.0,20.0,41.0,71.0
8,15.0,80.0,10.0,91.0,121.0
9,10.0,35.0,20.0,91.0,121.0
18,44.0,5.0,20.0,87.0,117.0
23,38.0,5.0,30.0,65.0,95.0
28,92.0,30.0,10.0,62.0,92.0
35,67.0,85.0,20.0,139.0,169.0
37,65.0,82.0,10.0,124.0,154.0
38,62.0,80.0,30.0,75.0,105.0
39,60.0,80.0,10.0,37.0,67.0
54,55.0,60.0,16.0,139.0,169.0
62,65.0,35.0,3.0,52.0,82.0
69,31.0,52.0,27.0,41.0,71.0
70,35.0,69.0,23.0,180.0,210.0
78,8.0,56.0,27.0,90.0,120.0
88,24.0,58.0,19.0,67.0,97.0
93,61.0,52.0,3.0,178.0,208.0
94,57.0,48.0,23.0,95.0,125.0
98,26.0,52.0,9.0,46.0,76.0
0,40.0,50.0,0.0,0.0,240.0
