family,instance,customer_count,algorithm,run_id,objective_value
random,R1,20,JOIH-ALNSLS,1,1744.04
random,R1,20,JOIH-ALNSLS,2,1757.37
random,R1,20,JOIH-ALNSLS,3,1744.04
random,R1,20,JOIH-ALNSLS,4,1780.25
random,R1,20,JOIH-ALNSLS,5,1744.04
random,R1,20,JOIH-ALNSLS,6,1768
random,R1,20,JOIH-ALNSLS,7,1768.4
random,R1,20,JOIH-ALNSLS,8,1757.37
random,R1,20,JOIH-ALNSLS,9,1744.04
random,R1,20,JOIH-ALNSLS,10,1768.4
random,R2,20,JOIH-ALNSLS,1,2300.47
random,R2,20,JOIH-ALNSLS,2,2268.35
random,R2,20,JOIH-ALNSLS,3,2268.35
random,R2,20,JOIH-ALNSLS,4,2268.35
random,R2,20,JOIH-ALNSLS,5,2306.25
random,R2,20,JOIH-ALNSLS,6,2268.35
random,R2,20,JOIH-ALNSLS,7,2306.25
random,R2,20,JOIH-ALNSLS,8,2292.91
random,R2,20,JOIH-ALNSLS,9,2300.47
random,R2,20,JOIH-ALNSLS,10,2306.25
random,R3,20,JOIH-ALNSLS,1,1795.28
random,R3,20,JOIH-ALNSLS,2,1795.28
random,R3,20,JOIH-ALNSLS,3,1795.28
random,R3,20,JOIH-ALNSLS,4,1795.28
random,R3,20,JOIH-ALNSLS,5,1795.28
random,R3,20,JOIH-ALNSLS,6,1795.28
random,R3,20,JOIH-ALNSLS,7,1795.28
random,R3,20,JOIH-ALNSLS,8,1795.28
random,R3,20,JOIH-ALNSLS,9,1795.28
random,R3,20,JOIH-ALNSLS,10,1795.28
random,R4,30,JOIH-ALNSLS,1,2496.08
random,R4,30,JOIH-ALNSLS,2,2524.06
random,R4,30,JOIH-ALNSLS,3,2492.43
random,R4,30,JOIH-ALNSLS,4,2515.17
random,R4,30,JOIH-ALNSLS,5,2538.9
random,R4,30,JOIH-ALNSLS,6,2492.43
random,R4,30,JOIH-ALNSLS,7,2496.53
random,R4,30,JOIH-ALNSLS,8,2492.43
random,R4,30,JOIH-ALNSLS,9,2496.08
random,R4,30,JOIH-ALNSLS,10,2499.16
random,R5,30,JOIH-ALNSLS,1,3961.01
random,R5,30,JOIH-ALNSLS,2,3968.07
random,R5,30,JOIH-ALNSLS,3,3967.35
random,R5,30,JOIH-ALNSLS,4,3960.45
random,R5,30,JOIH-ALNSLS,5,3940.56
random,R5,30,JOIH-ALNSLS,6,3972.27
random,R5,30,JOIH-ALNSLS,7,3967.35
random,R5,30,JOIH-ALNSLS,8,3949.82
random,R5,30,JOIH-ALNSLS,9,3958.67
random,R5,30,JOIH-ALNSLS,10,3930.75
random,R6,30,JOIH-ALNSLS,1,3246.54
random,R6,30,JOIH-ALNSLS,2,3246.54
random,R6,30,JOIH-ALNSLS,3,3246.54
random,R6,30,JOIH-ALNSLS,4,3246.54
random,R6,30,JOIH-ALNSLS,5,3246.54
random,R6,30,JOIH-ALNSLS,6,3246.54
random,R6,30,JOIH-ALNSLS,7,3246.54
random,R6,30,JOIH-ALNSLS,8,3246.54
random,R6,30,JOIH-ALNSLS,9,3269.15
random,R6,30,JOIH-ALNSLS,10,3246.54
random,R7,40,JOIH-ALNSLS,1,3496.96
random,R7,40,JOIH-ALNSLS,2,3480.5
random,R7,40,JOIH-ALNSLS,3,3490.26
random,R7,40,JOIH-ALNSLS,4,3496.53
random,R7,40,JOIH-ALNSLS,5,3481.24
random,R7,40,JOIH-ALNSLS,6,3483.42
random,R7,40,JOIH-ALNSLS,7,3498.26
random,R7,40,JOIH-ALNSLS,8,3504.16
random,R7,40,JOIH-ALNSLS,9,3481.24
random,R7,40,JOIH-ALNSLS,10,3505.93
random,R8,40,JOIH-ALNSLS,1,3238.01
random,R8,40,JOIH-ALNSLS,2,3223.1
random,R8,40,JOIH-ALNSLS,3,3276.7
random,R8,40,JOIH-ALNSLS,4,3225.25
random,R8,40,JOIH-ALNSLS,5,3238.01
random,R8,40,JOIH-ALNSLS,6,3261.56
random,R8,40,JOIH-ALNSLS,7,3270.84
random,R8,40,JOIH-ALNSLS,8,3294.79
random,R8,40,JOIH-ALNSLS,9,3257.44
random,R8,40,JOIH-ALNSLS,10,3295.78
random,R9,40,JOIH-ALNSLS,1,3302.99
random,R9,40,JOIH-ALNSLS,2,3294.66
random,R9,40,JOIH-ALNSLS,3,3219.04
random,R9,40,JOIH-ALNSLS,4,3262.64
random,R9,40,JOIH-ALNSLS,5,3228.58
random,R9,40,JOIH-ALNSLS,6,3239.58
random,R9,40,JOIH-ALNSLS,7,3256.18
random,R9,40,JOIH-ALNSLS,8,3303.47
random,R9,40,JOIH-ALNSLS,9,3220.61
random,R9,40,JOIH-ALNSLS,10,3281.49
random,R10,50,JOIH-ALNSLS,1,3186.17
random,R10,50,JOIH-ALNSLS,2,3262.45
random,R10,50,JOIH-ALNSLS,3,3154.15
random,R10,50,JOIH-ALNSLS,4,3131.45
random,R10,50,JOIH-ALNSLS,5,3183.74
random,R10,50,JOIH-ALNSLS,6,3152.15
random,R10,50,JOIH-ALNSLS,7,3145.69
random,R10,50,JOIH-ALNSLS,8,3274.3
random,R10,50,JOIH-ALNSLS,9,3079.95
random,R10,50,JOIH-ALNSLS,10,3164.74
random,R11,50,JOIH-ALNSLS,1,3898.62
random,R11,50,JOIH-ALNSLS,2,3827.2
random,R11,50,JOIH-ALNSLS,3,3871.56
random,R11,50,JOIH-ALNSLS,4,3828.27
random,R11,50,JOIH-ALNSLS,5,3876.91
random,R11,50,JOIH-ALNSLS,6,3830.15
random,R11,50,JOIH-ALNSLS,7,3912.67
random,R11,50,JOIH-ALNSLS,8,3845.7
random,R11,50,JOIH-ALNSLS,9,3848.73
random,R11,50,JOIH-ALNSLS,10,3892.2
random,R12,50,JOIH-ALNSLS,1,4082.54
random,R12,50,JOIH-ALNSLS,2,4073.86
random,R12,50,JOIH-ALNSLS,3,4076.61
random,R12,50,JOIH-ALNSLS,4,4080.87
random,R12,50,JOIH-ALNSLS,5,4135.61
random,R12,50,JOIH-ALNSLS,6,4043.69
random,R12,50,JOIH-ALNSLS,7,4006.81
random,R12,50,JOIH-ALNSLS,8,4080.72
random,R12,50,JOIH-ALNSLS,9,4014.59
random,R12,50,JOIH-ALNSLS,10,4111.95
random,R1,20,JOIH-ALNSLS-noJoint,1,1780.25
random,R1,20,JOIH-ALNSLS-noJoint,2,1787.95
random,R1,20,JOIH-ALNSLS-noJoint,3,1781.6
random,R1,20,JOIH-ALNSLS-noJoint,4,1780.25
random,R1,20,JOIH-ALNSLS-noJoint,5,1757.37
random,R1,20,JOIH-ALNSLS-noJoint,6,1757.37
random,R1,20,JOIH-ALNSLS-noJoint,7,1780.25
random,R1,20,JOIH-ALNSLS-noJoint,8,1774.61
random,R1,20,JOIH-ALNSLS-noJoint,9,1780.25
random,R1,20,JOIH-ALNSLS-noJoint,10,1780.25
random,R2,20,JOIH-ALNSLS-noJoint,1,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,2,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,3,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,4,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,5,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,6,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,7,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,8,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,9,2306.25
random,R2,20,JOIH-ALNSLS-noJoint,10,2306.25
random,R3,20,JOIH-ALNSLS-noJoint,1,1857.42
random,R3,20,JOIH-ALNSLS-noJoint,2,1834.35
random,R3,20,JOIH-ALNSLS-noJoint,3,1834.35
random,R3,20,JOIH-ALNSLS-noJoint,4,1795.28
random,R3,20,JOIH-ALNSLS-noJoint,5,1795.28
random,R3,20,JOIH-ALNSLS-noJoint,6,1795.28
random,R3,20,JOIH-ALNSLS-noJoint,7,1834.35
random,R3,20,JOIH-ALNSLS-noJoint,8,1834.35
random,R3,20,JOIH-ALNSLS-noJoint,9,1849.17
random,R3,20,JOIH-ALNSLS-noJoint,10,1795.28
random,R4,30,JOIH-ALNSLS-noJoint,1,2595.31
random,R4,30,JOIH-ALNSLS-noJoint,2,2740.79
random,R4,30,JOIH-ALNSLS-noJoint,3,2694.82
random,R4,30,JOIH-ALNSLS-noJoint,4,2654.55
random,R4,30,JOIH-ALNSLS-noJoint,5,2713.3
random,R4,30,JOIH-ALNSLS-noJoint,6,2683.37
random,R4,30,JOIH-ALNSLS-noJoint,7,2678.7
random,R4,30,JOIH-ALNSLS-noJoint,8,2590.03
random,R4,30,JOIH-ALNSLS-noJoint,9,2644.38
random,R4,30,JOIH-ALNSLS-noJoint,10,2681.03
random,R5,30,JOIH-ALNSLS-noJoint,1,4022.06
random,R5,30,JOIH-ALNSLS-noJoint,2,3977.6
random,R5,30,JOIH-ALNSLS-noJoint,3,4062.71
random,R5,30,JOIH-ALNSLS-noJoint,4,4005.13
random,R5,30,JOIH-ALNSLS-noJoint,5,4102.34
random,R5,30,JOIH-ALNSLS-noJoint,6,4020.89
random,R5,30,JOIH-ALNSLS-noJoint,7,3990.51
random,R5,30,JOIH-ALNSLS-noJoint,8,4055.95
random,R5,30,JOIH-ALNSLS-noJoint,9,4061.42
random,R5,30,JOIH-ALNSLS-noJoint,10,3972.27
random,R6,30,JOIH-ALNSLS-noJoint,1,3432.28
random,R6,30,JOIH-ALNSLS-noJoint,2,3261.04
random,R6,30,JOIH-ALNSLS-noJoint,3,3396.24
random,R6,30,JOIH-ALNSLS-noJoint,4,3324.79
random,R6,30,JOIH-ALNSLS-noJoint,5,3327.61
random,R6,30,JOIH-ALNSLS-noJoint,6,3441.78
random,R6,30,JOIH-ALNSLS-noJoint,7,3383.44
random,R6,30,JOIH-ALNSLS-noJoint,8,3453.35
random,R6,30,JOIH-ALNSLS-noJoint,9,3416.64
random,R6,30,JOIH-ALNSLS-noJoint,10,3336.37
