family,instance,customer_count,algorithm,run_id,objective_value
real-world,A1,4,JOIH-ALNSLS,1,318.2
real-world,A1,4,JOIH-ALNSLS,2,318.2
real-world,A1,4,JOIH-ALNSLS,3,318.2
real-world,A1,4,JOIH-ALNSLS,4,318.2
real-world,A1,4,JOIH-ALNSLS,5,318.2
real-world,A1,4,JOIH-ALNSLS,6,318.2
real-world,A1,4,JOIH-ALNSLS,7,318.2
real-world,A1,4,JOIH-ALNSLS,8,318.2
real-world,A1,4,JOIH-ALNSLS,9,318.2
real-world,A1,4,JOIH-ALNSLS,10,318.2
real-world,A2,5,JOIH-ALNSLS,1,320.11
real-world,A2,5,JOIH-ALNSLS,2,320.11
real-world,A2,5,JOIH-ALNSLS,3,320.11
real-world,A2,5,JOIH-ALNSLS,4,320.11
real-world,A2,5,JOIH-ALNSLS,5,320.11
real-world,A2,5,JOIH-ALNSLS,6,320.11
real-world,A2,5,JOIH-ALNSLS,7,320.11
real-world,A2,5,JOIH-ALNSLS,8,320.11
real-world,A2,5,JOIH-ALNSLS,9,320.11
real-world,A2,5,JOIH-ALNSLS,10,320.11
real-world,A3,6,JOIH-ALNSLS,1,354.11
real-world,A3,6,JOIH-ALNSLS,2,354.11
real-world,A3,6,JOIH-ALNSLS,3,354.11
real-world,A3,6,JOIH-ALNSLS,4,354.11
real-world,A3,6,JOIH-ALNSLS,5,354.11
real-world,A3,6,JOIH-ALNSLS,6,354.11
real-world,A3,6,JOIH-ALNSLS,7,354.11
real-world,A3,6,JOIH-ALNSLS,8,354.11
real-world,A3,6,JOIH-ALNSLS,9,354.11
real-world,A3,6,JOIH-ALNSLS,10,354.11
real-world,A4,7,JOIH-ALNSLS,1,381.89
real-world,A4,7,JOIH-ALNSLS,2,381.89
real-world,A4,7,JOIH-ALNSLS,3,381.89
real-world,A4,7,JOIH-ALNSLS,4,381.89
real-world,A4,7,JOIH-ALNSLS,5,381.89
real-world,A4,7,JOIH-ALNSLS,6,381.89
real-world,A4,7,JOIH-ALNSLS,7,381.89
real-world,A4,7,JOIH-ALNSLS,8,381.89
real-world,A4,7,JOIH-ALNSLS,9,381.89
real-world,A4,7,JOIH-ALNSLS,10,381.89
real-world,A5,8,JOIH-ALNSLS,1,429.06
real-world,A5,8,JOIH-ALNSLS,2,391.62
real-world,A5,8,JOIH-ALNSLS,3,391.62
real-world,A5,8,JOIH-ALNSLS,4,391.62
real-world,A5,8,JOIH-ALNSLS,5,391.62
real-world,A5,8,JOIH-ALNSLS,6,391.62
real-world,A5,8,JOIH-ALNSLS,7,391.62
real-world,A5,8,JOIH-ALNSLS,8,429.06
real-world,A5,8,JOIH-ALNSLS,9,391.62
real-world,A5,8,JOIH-ALNSLS,10,429.06
real-world,A6,9,JOIH-ALNSLS,1,394.49
real-world,A6,9,JOIH-ALNSLS,2,394.49
real-world,A6,9,JOIH-ALNSLS,3,394.49
real-world,A6,9,JOIH-ALNSLS,4,394.49
real-world,A6,9,JOIH-ALNSLS,5,429.17
real-world,A6,9,JOIH-ALNSLS,6,429.17
real-world,A6,9,JOIH-ALNSLS,7,394.49
real-world,A6,9,JOIH-ALNSLS,8,404.32
real-world,A6,9,JOIH-ALNSLS,9,394.49
real-world,A6,9,JOIH-ALNSLS,10,394.49
real-world,A7,10,JOIH-ALNSLS,1,466.37
real-world,A7,10,JOIH-ALNSLS,2,466.37
real-world,A7,10,JOIH-ALNSLS,3,466.37
real-world,A7,10,JOIH-ALNSLS,4,501.88
real-world,A7,10,JOIH-ALNSLS,5,501.88
real-world,A7,10,JOIH-ALNSLS,6,528.16
real-world,A7,10,JOIH-ALNSLS,7,511.87
real-world,A7,10,JOIH-ALNSLS,8,466.37
real-world,A7,10,JOIH-ALNSLS,9,501.88
real-world,A7,10,JOIH-ALNSLS,10,466.37
real-world,A8,11,JOIH-ALNSLS,1,549.81
real-world,A8,11,JOIH-ALNSLS,2,511.31
real-world,A8,11,JOIH-ALNSLS,3,475.8
real-world,A8,11,JOIH-ALNSLS,4,475.8
real-world,A8,11,JOIH-ALNSLS,5,511.31
real-world,A8,11,JOIH-ALNSLS,6,475.8
real-world,A8,11,JOIH-ALNSLS,7,475.8
real-world,A8,11,JOIH-ALNSLS,8,549.81
real-world,A8,11,JOIH-ALNSLS,9,550.09
real-world,A8,11,JOIH-ALNSLS,10,549.81
real-world,A9,12,JOIH-ALNSLS,1,566.07
real-world,A9,12,JOIH-ALNSLS,2,566.07
real-world,A9,12,JOIH-ALNSLS,3,566.07
real-world,A9,12,JOIH-ALNSLS,4,566.07
real-world,A9,12,JOIH-ALNSLS,5,566.07
real-world,A9,12,JOIH-ALNSLS,6,547.86
real-world,A9,12,JOIH-ALNSLS,7,566.07
real-world,A9,12,JOIH-ALNSLS,8,566.07
real-world,A9,12,JOIH-ALNSLS,9,566.07
real-world,A9,12,JOIH-ALNSLS,10,566.07
real-world,A10,13,JOIH-ALNSLS,1,569.64
real-world,A10,13,JOIH-ALNSLS,2,537.01
real-world,A10,13,JOIH-ALNSLS,3,569.64
real-world,A10,13,JOIH-ALNSLS,4,569.64
real-world,A10,13,JOIH-ALNSLS,5,569.64
real-world,A10,13,JOIH-ALNSLS,6,554.18
real-world,A10,13,JOIH-ALNSLS,7,569.64
real-world,A10,13,JOIH-ALNSLS,8,537.01
real-world,A10,13,JOIH-ALNSLS,9,537.01
real-world,A10,13,JOIH-ALNSLS,10,569.64
real-world,A11,14,JOIH-ALNSLS,1,539.94
real-world,A11,14,JOIH-ALNSLS,2,599.93
real-world,A11,14,JOIH-ALNSLS,3,539.94
real-world,A11,14,JOIH-ALNSLS,4,599.93
real-world,A11,14,JOIH-ALNSLS,5,575.4
real-world,A11,14,JOIH-ALNSLS,6,575.4
real-world,A11,14,JOIH-ALNSLS,7,599.93
real-world,A11,14,JOIH-ALNSLS,8,601.19
real-world,A11,14,JOIH-ALNSLS,9,575.4
real-world,A11,14,JOIH-ALNSLS,10,539.94
real-world,A12,15,JOIH-ALNSLS,1,578.54
real-world,A12,15,JOIH-ALNSLS,2,622.88
real-world,A12,15,JOIH-ALNSLS,3,624.17
real-world,A12,15,JOIH-ALNSLS,4,622.88
real-world,A12,15,JOIH-ALNSLS,5,622.88
real-world,A12,15,JOIH-ALNSLS,6,593.51
real-world,A12,15,JOIH-ALNSLS,7,578.54
real-world,A12,15,JOIH-ALNSLS,8,612.56
real-world,A12,15,JOIH-ALNSLS,9,645.52
real-world,A12,15,JOIH-ALNSLS,10,622.88
