family,instance,customer_count,algorithm,run_id,objective_value
solomon-derived,C101-20,20,JOIH-ALNSLS,1,1598.86
solomon-derived,C101-20,20,JOIH-ALNSLS,2,1635.94
solomon-derived,C101-20,20,JOIH-ALNSLS,3,1595.75
solomon-derived,C101-20,20,JOIH-ALNSLS,4,1518.5
solomon-derived,C101-20,20,JOIH-ALNSLS,5,1624.56
solomon-derived,C101-20,20,JOIH-ALNSLS,6,1619.18
solomon-derived,C101-20,20,JOIH-ALNSLS,7,1585.18
solomon-derived,C101-20,20,JOIH-ALNSLS,8,1579.16
solomon-derived,C101-20,20,JOIH-ALNSLS,9,1600.94
solomon-derived,C101-20,20,JOIH-ALNSLS,10,1658.48
solomon-derived,C102-20,20,JOIH-ALNSLS,1,3776.23
solomon-derived,C102-20,20,JOIH-ALNSLS,2,4038.09
solomon-derived,C102-20,20,JOIH-ALNSLS,3,3776.23
solomon-derived,C102-20,20,JOIH-ALNSLS,4,4178.08
solomon-derived,C102-20,20,JOIH-ALNSLS,5,4141.45
solomon-derived,C102-20,20,JOIH-ALNSLS,6,3776.23
solomon-derived,C102-20,20,JOIH-ALNSLS,7,3717.22
solomon-derived,C102-20,20,JOIH-ALNSLS,8,4178.08
solomon-derived,C102-20,20,JOIH-ALNSLS,9,3776.23
solomon-derived,C102-20,20,JOIH-ALNSLS,10,4141.45
solomon-derived,R101-20,20,JOIH-ALNSLS,1,608.63
solomon-derived,R101-20,20,JOIH-ALNSLS,2,558.88
solomon-derived,R101-20,20,JOIH-ALNSLS,3,552.29
solomon-derived,R101-20,20,JOIH-ALNSLS,4,572.83
solomon-derived,R101-20,20,JOIH-ALNSLS,5,565.65
solomon-derived,R101-20,20,JOIH-ALNSLS,6,580.37
solomon-derived,R101-20,20,JOIH-ALNSLS,7,593.24
solomon-derived,R101-20,20,JOIH-ALNSLS,8,585.66
solomon-derived,R101-20,20,JOIH-ALNSLS,9,573.85
solomon-derived,R101-20,20,JOIH-ALNSLS,10,590.62
solomon-derived,R102-20,20,JOIH-ALNSLS,1,1099.08
solomon-derived,R102-20,20,JOIH-ALNSLS,2,1137.53
solomon-derived,R102-20,20,JOIH-ALNSLS,3,1116.84
solomon-derived,R102-20,20,JOIH-ALNSLS,4,1090.39
solomon-derived,R102-20,20,JOIH-ALNSLS,5,1166.17
solomon-derived,R102-20,20,JOIH-ALNSLS,6,1095.13
solomon-derived,R102-20,20,JOIH-ALNSLS,7,1098.83
solomon-derived,R102-20,20,JOIH-ALNSLS,8,1161.75
solomon-derived,R102-20,20,JOIH-ALNSLS,9,1152.44
solomon-derived,R102-20,20,JOIH-ALNSLS,10,1054.83
solomon-derived,RC101-20,20,JOIH-ALNSLS,1,504.29
solomon-derived,RC101-20,20,JOIH-ALNSLS,2,508.73
solomon-derived,RC101-20,20,JOIH-ALNSLS,3,496.17
solomon-derived,RC101-20,20,JOIH-ALNSLS,4,504.29
solomon-derived,RC101-20,20,JOIH-ALNSLS,5,500.08
solomon-derived,RC101-20,20,JOIH-ALNSLS,6,504.25
solomon-derived,RC101-20,20,JOIH-ALNSLS,7,526.98
solomon-derived,RC101-20,20,JOIH-ALNSLS,8,508.73
solomon-derived,RC101-20,20,JOIH-ALNSLS,9,508.73
solomon-derived,RC101-20,20,JOIH-ALNSLS,10,505.99
solomon-derived,RC102-20,20,JOIH-ALNSLS,1,888.78
solomon-derived,RC102-20,20,JOIH-ALNSLS,2,898.15
solomon-derived,RC102-20,20,JOIH-ALNSLS,3,943.14
solomon-derived,RC102-20,20,JOIH-ALNSLS,4,873.5
solomon-derived,RC102-20,20,JOIH-ALNSLS,5,907.96
solomon-derived,RC102-20,20,JOIH-ALNSLS,6,888.78
solomon-derived,RC102-20,20,JOIH-ALNSLS,7,887.79
solomon-derived,RC102-20,20,JOIH-ALNSLS,8,887.79
solomon-derived,RC102-20,20,JOIH-ALNSLS,9,892.85
solomon-derived,RC102-20,20,JOIH-ALNSLS,10,972.58
solomon-derived,C101-50,50,JOIH-ALNSLS,1,3462.01
solomon-derived,C101-50,50,JOIH-ALNSLS,2,3414.14
solomon-derived,C101-50,50,JOIH-ALNSLS,3,3399.64
solomon-derived,C101-50,50,JOIH-ALNSLS,4,3494.18
solomon-derived,C101-50,50,JOIH-ALNSLS,5,3570.4
solomon-derived,C101-50,50,JOIH-ALNSLS,6,3410.19
solomon-derived,C101-50,50,JOIH-ALNSLS,7,3482.3
solomon-derived,C101-50,50,JOIH-ALNSLS,8,3445.95
